,author_id,created_at,text,retweet_count,reply_count,like_count,quote_count
30,1499691433195982858,2022-03-24 22:48:53+00:00,"b'Stand with the people of Ukraine. Now accepting cryptocurrency donations. Bitcoin, Ethereum &amp; USDT.\n\nBTC - 37FVHkMznkRvpG7KHdBTgX99EEYFdM49xX\n\n#UkraineUnderAtta\xd1\x81k \n#Ukraine \n#StandWithUkraine\xef\xb8\x8f\n#UkraineRussianWar \n#IStandWithUkraine\xef\xb8\x8f \n#gasolina \n#Gold \n#Bitcoin \nBiden https://t.co/ICy5Jk56oh'",0,0,0,0
31,1432776443516399625,2022-03-24 22:48:14+00:00,b'Bitcoin is the future \xe2\x98\x80\xef\xb8\x8f\xf0\x9f\x91\x91\n#Bitcoin #Russia #Ukraine #NFT https://t.co/VoFZj6MZ1H',0,0,2,0
32,1348703871833694211,2022-03-24 22:43:16+00:00,"b'Russia May Accept Bitcoin for Gas Exports, Lawmaker Says https://t.co/IZaI2wkfc3 #Russia #cryptocurrencies #Bitcoin'",0,2,2,0
33,1431467316357726217,2022-03-24 22:42:12+00:00,b'\xe2\x9a\xaa\xef\xb8\x8f Meta Babe Reuploaded \n\xf0\x9f\x8e\xbc Sound on @DavidBowieReal *Cat People*\n\xf0\x9f\x9f\xa3 Model : Coco \n\xe2\x9a\xaa\xef\xb8\x8f\n#NFTCommunity #music #Bowieforever #MotionDesign #Ukraine #Metaverse #Blockchain #BTC #artwork \n\xe2\x9a\xaa\xef\xb8\x8f https://t.co/FFQLVp4wna',0,0,5,0
34,1324165219,2022-03-24 22:41:54+00:00,"b'#Russia may accept #bitcoin for its gas exports, a high-ranking parliamentarian reveals. https://t.co/Hj5afUkmNE (via Twitter https://t.co/LnrdWypbeV)'",0,1,1,0
35,361353505,2022-03-24 22:41:49+00:00,b'JASMY PUMPING HARD\n#crypto #stocks #investing #bitcoin #ethereum #japan #tokyo #altcoins #money #kucoin #binance #bybit #war #ukraine #russia #gasprices #taxes #ada #slp #ape #\xe6\x97\xa5\xe6\x9c\xac',0,0,0,0
36,3367334171,2022-03-24 22:40:44+00:00,"b'#Russia may accept #bitcoin for its gas exports, a high-ranking parliamentarian reveals. https://t.co/Dc6jiJ8DdG'",49,31,166,4
37,1330141863140093953,2022-03-24 22:38:36+00:00,b'Get Your Course Ready In 10 Minutes With Marble https://t.co/du46N4XWtj\n#onlinebusiness #passiveincome #contentcreation #entrepreneurs #Ethereum #youtubeshorts #business #russia #gasprices #btc #NFT #Metaverse #lostoffer #makemoneyonline #success #ElonMusk #teacher #TeachingJobs',0,0,2,0
38,1451897869649289224,2022-03-24 22:38:03+00:00,b'BREAKING: RUSSIA OPEN TO TAKING PAYMENTS FOR NATURAL GAS IN #Bitcoin - CHAIR OF CONGRESSIONAL ENERGY COMMITTEE \xef\xbf\xbc#Russia',3,1,8,0
39,1506752422189879307,2022-03-24 22:32:52+00:00,b'#NELLI  is Chef #mcdoge \nListed on https://t.co/LXSuiECnKs\n#NFTART  #NFT\n #cryptogirl #Ukraine  #mcdonalds\n#Investordog #metaverse\n#dogecoin #babydoge #BTC #ETH #polygan #cardano #safemoon \nPart of the NFT sale goes to feeding stray dogs https://t.co/WM5bTWNN41',0,0,1,0
40,1400378624998445057,2022-03-24 22:30:46+00:00,b'MY TOP 4 WINS LAST 6 MONTHS \n@_bitstarz\n\nNO DEPOSIT #BTC #BITCOIN #FREESPINS and WEEKLY FREEROLL TOURNAMENT CLICK=&gt; https://t.co/j0lUEj3WKf\n\n#ukraine #nfts #trending #breakingnews #cryptocurrency https://t.co/it7kB3zFXh',0,0,0,0
41,1466496750777106437,2022-03-24 22:28:00+00:00,b'BREAKING: Russian Oil Priced In Bitcoin https://t.co/TGF4tt8O26 #BTC \n#Bitcoin \n#Russia \n#Oil \n#cryptocurrency \n#Ukraine \n#UkraineRussiaWar \n#USA',0,0,0,0
42,896823706831466498,2022-03-24 22:25:04+00:00,"b'Top Russian energy official Pavel Zavalny said that #Russia is open to accepting #Bitcoin payments for energy exports.\nZavalny also said that the country has lost all interest in energy payments in $ or \xe2\x82\xac as they have turned into ""candy wrappers.""\nhttps://t.co/598FbK3JQZ'",0,0,0,0
43,897490857384955904,2022-03-24 22:24:32+00:00,"b'Russia will accept Bitcoin as a payment for oil and gas, senior Russian lawmaker says.\n\n#Russia #Oilprices #oil #bitcoin #crypto #gas #oilandgas #prices #inflation'",0,0,0,0
44,1506718881972465672,2022-03-24 22:24:21+00:00,"b""Please help me someone pay for the rent of the apartment.  Otherwise I'll have to spend the night on the street tomorrow.  I need 400$ \xf0\x9f\x98\xad\xf0\x9f\x98\xad\xf0\x9f\x98\xad\xf0\x9f\x99\x8f\n\n#ukraine #onlyfans #UkraineWar #HelpUkraine #help #NFT #Bitcoin https://t.co/1zMjK1NlFf""",0,1,1,0
45,1357913724690944000,2022-03-24 22:23:06+00:00,b'Russia and Bitcoin Payment for Oil #Russia #Bitcoin #Btc #crypto #Cryptocurrency https://t.co/VBDHOGFdYJ',0,1,1,0
46,223679734,2022-03-24 22:21:30+00:00,b'#Russia accepts #BTC for #Oil = more fuel for #BTC\xe2\x80\x99s fire!',0,0,0,0
47,1506727679642456065,2022-03-24 22:17:04+00:00,b'send any price for random NFT (DM)\nwhen you send tack screenshot send to me in (DM)\xf0\x9f\x87\xba\xf0\x9f\x87\xa6help #RT #matic #AVAX #cryptocurrency #ADA #Angel #Ape #ape #APECOIN #APECOIN #APE #binance #NFTGiveway #FLOKI #Airdrop #Bitcoin #BitcoinButton #bnb #BNB #HelpUkraineNow #Ukraine #Wallet #CRO #SH https://t.co/lKxpbXCsGZ',1,0,1,0
48,1400378624998445057,2022-03-24 22:15:14+00:00,"b""#BREAKINGNEWS #BTC #CASINO #1 RATED FOR PAYOUTS, CUSTOMER SERVICE AND #JACKPOT 'S PAID @_BITSTARZ \n\nJOIN NOW=&gt; https://t.co/mum0dq6V2H\n\n#ukraine #nfts #trending #breakingnews #cryptocurrency https://t.co/jkN77VKEm3""",0,0,1,0
49,1480578382014427136,2022-03-24 22:10:38+00:00,b'You know you\xe2\x80\x99re into 3rd millenary when #russia accepted #bitcoin for gas paiement.',2,1,2,0
50,1400378624998445057,2022-03-24 22:08:14+00:00,b'#FREESPINS #BTC BONUS \nCLICK =&gt; https://t.co/mum0dq6V2H\n\n -1 Minute Registration\n- No Verifications\n- Immediate BTC Freespins NO Deposit\n- Withdrawals take less than 10 Minutes\n\n#ukraine #nfts #trending #breakingnews #cryptocurrency https://t.co/PQlsvLuDTN',0,0,0,0
51,936921844619280384,2022-03-24 22:07:45+00:00,b'News | Bitcoin shores up Ukraine fighters amid Moscow\xe2\x80\x99s money meltdown #Bitcoin #Ukraine\n\nhttps://t.co/Rgdy2pwNRV',0,0,0,0
52,1277316690091655168,2022-03-24 22:04:58+00:00,b'#Russia To Accept #Bitcoin As #Payment For #Oil From \xe2\x80\x9c#Allies\xe2\x80\x9d https://t.co/wtwOOyKXax',0,1,0,0
53,1277316690091655168,2022-03-24 22:04:40+00:00,b'#Bitcoin Gains $20 Billion After #Russia Mulls Accepting #BTC For Natural Resource Sales  https://t.co/4ZhgEUDNjN',0,1,0,0
54,1496115487817998338,2022-03-24 22:00:35+00:00,"b'I live in Ukraine.\nWe are working to support many refugees.\nEven if you donate to the Red Cross or the country, you will not receive support.\nI see children debilitating every day.\nThere is a shortage of supplies and financial resources.\n#Ukraine  #Bitcoin #ethereum\xe3\x80\x80#NFT  #war https://t.co/XFyNgkYkUJ'",0,0,2,0
55,1384194600282165260,2022-03-24 22:00:10+00:00,b'UKRAINE IS ONE MORE EXAMPLE OF BITCOIN OPERATING AS INTENDED #crypto #nft #btc #bitcoin #cryptocurrency #nfts #Ukraine #DeFi \nhttps://t.co/gDhSgqrg0S',0,0,0,0
56,38253154,2022-03-24 21:58:19+00:00,b'#Russia is going to accept #Bitcoin for Natural Gas? Anyone confirm? #BTC https://t.co/2FJnPnp7wY',0,1,0,0
57,324030109,2022-03-24 21:57:41+00:00,"b'#Russia Is Open To Selling Natural Gas For #Bitcoin\nRussia can trade with \xe2\x80\x98friendly\xe2\x80\x99 countries in national currencies or bitcoin, the chairman of the State Duma committee on energy said.\n\nhttps://t.co/1HvfMQaTjj #RussiaInvasion'",0,0,3,0
58,3241594312,2022-03-24 21:52:18+00:00,"b""'Russia is the #1 natural gas exporter in the world, and they're open to accepting #bitcoin for it. \xf0\x9f\x87\xb7\xf0\x9f\x87\xba' - Tweeted by: @BitcoinMagazine \xf0\x9f\x92\xa5 #Russia""",0,1,2,0
59,1505936308765696004,2022-03-24 21:51:51+00:00,b'Quick take: #Bitcoin  has hit a local high of $44k Bitcoin is currently in bullish territory above the 50-day and 100-day moving averages The bullishness surrounding Bitcoin and the push towards $44k can be attributed to rumors of #Russia  accepting #BTC  for energy exports\n1/2',0,2,1,0
60,26932436,2022-03-24 21:47:48+00:00,"b""@PeterSchiff got some splainin' to do!\n\nBitcoin fixes this!\n\nhttps://t.co/dsK8n4VeHx\n\n#Ukraine #Russia #crypto $BTC $ETH $ADA #Bitcoin""",0,0,1,0
61,2220015630,2022-03-24 21:43:53+00:00,b'From Failed Moves Comes Fast #StockMarket Moves \xf0\x9f\x91\x89 https://t.co/gvEf973JvG SpamFree #research \n\n$SPY $QQQ $TSLA $AAPL $AMZN #earnings #economy #stocks #bonds #inflation #recession #gold #Bitcoin #Fed #Invest #Ukraine',0,0,2,0
62,1504812491087486983,2022-03-24 21:39:23+00:00,b'Hold you tight and will never give you to anybody. Our one and only Ukraine \xf0\x9f\x87\xba\xf0\x9f\x87\xa6 \xf0\x9f\x92\x99\xf0\x9f\x92\x9b \n\n\xf0\x9f\x93\xb7 @oleksandra.olishevska\n\n#Ukraine #kiev #zelenskiy #loveukraine #standwithukraine #ukrainewar #peaceforukraine #aidforukraine #support #crypto #cryptoforukraine #bitcoin #dogecoin #ethereum https://t.co/P75qssXqTx',0,1,0,0
63,1496532887939817482,2022-03-24 21:39:12+00:00,"b""#Russia Energy Committee Chair: We'll Take #Bitcoin for Oil and Gas\n\n#hubforcrypto\n\nhttps://t.co/TbJMiXQ2PV""",0,1,1,0
64,1476579017251766283,2022-03-24 21:33:27+00:00,"b'Congratulations to everybody whom \xf0\x9f\x92\xafbeneficited from the company I work with Start trading in bitcoin, earn good profits after 48 hours with a minimum investment and you will earn more money \xf0\x9f\x92\xb0 #MadeleineAlbright #Russia #BTC @Btc_coin_inves https://t.co/rbju8OWMfu'",0,0,0,0
65,1463350942988972037,2022-03-24 21:33:00+00:00,"b""\xf0\x9f\x87\xba\xf0\x9f\x87\xa6 A #Ukrainian refugee has reached Poland \xf0\x9f\x87\xb5\xf0\x9f\x87\xb1 with approximately 40% of his life savings held in #Bitcoin \n\nHe couldn't withdraw cash in #Ukraine; Used #BTC to pay for transport to #Poland, a hostel, &amp; food\n\nhttps://t.co/iUGTeDVXkP\n\n#crypto #blockchain #cryptocurrency #UkraineWar""",0,0,0,0
66,627208970,2022-03-24 21:30:35+00:00,"b""#Russia #Energy Committee Chair: We'll Take #Bitcoin for Oil and Gas: The chair of the State Duma Committee on #Energy said #Russia would accept #Bitcoin for its energy exports\xe2\x80\x94at least from China and Turkey. https://t.co/ZlX3oRDP6R https://t.co/s3f5bFRVC5""",0,0,1,0
67,916681683134447617,2022-03-24 21:30:01+00:00,b'OIL is Bearish as 280 pips Have Been Secured\n#blockchain #russia #bitcoin #coinbase\nhttps://t.co/2kMNSVp8LT',0,0,0,0
68,1400378624998445057,2022-03-24 21:29:30+00:00,b'MY TOP 4 WINS LAST 6 MONTHS \n@_bitstarz\n\nNO DEPOSIT #BTC #BITCOIN #FREESPINS and WEEKLY FREEROLL TOURNAMENT CLICK=&gt; https://t.co/j0lUEj3WKf\n\n#ukraine #nfts #trending #breakingnews #cryptocurrency https://t.co/FBKWvZ2E6F',0,0,0,0
69,35558848,2022-03-24 21:26:48+00:00,"b'Douma\'s chairman in #Russia says ""if it has to be #Bitcoin, it will be #bitcoin, regarding the currency tobuse in order to trade oil in the future. \xe2\x9d\x95\xef\xb8\x8f\xe2\x9d\x95\xef\xb8\x8f\xe2\x9d\x97\xef\xb8\x8f\xe2\x9d\x97\xef\xb8\x8f https://t.co/WcscFWBMrK'",0,0,0,0
70,1490355823838744583,2022-03-24 21:20:27+00:00,b'Ukraine Is One More Example Of Bitcoin Operating As Intended  #bitcoin #ukraine',0,0,0,0
71,1507085163368439814,2022-03-24 21:18:48+00:00,"b'""Russia Might Accept Bitcoin for Oil Payments"" (Report)\nRead more : https://t.co/mS2rObi6S4 \n#cryptocurrencies #crypto #BTC #russia #oil #cryptonews #btcnews'",0,0,0,0
72,1504242095443390464,2022-03-24 21:16:23+00:00,"b'@SamRamani2 We are organizing private #donations for #Ukraine, driving there from southern Germany 2-3 times a week by our transporter. We kindly ask for your help, quick &amp; easy by #Bitcoin. Address bc1qnyfmwraa8y08760vg4mrj2phpz29kzn5wc90p8 . Thank you!! \xf0\x9f\x99\x8f\xf0\x9f\x92\x99\xf0\x9f\x92\x9b'",0,0,0,0
73,1504242095443390464,2022-03-24 21:16:09+00:00,"b'@phantom_scribbs We are organizing private #donations for #Ukraine, driving there from southern Germany 2-3 times a week by our transporter. We kindly ask for your help, quick &amp; easy by #Bitcoin. Address bc1qnyfmwraa8y08760vg4mrj2phpz29kzn5wc90p8 . Thank you!! \xf0\x9f\x99\x8f\xf0\x9f\x92\x99\xf0\x9f\x92\x9b'",0,0,0,0
74,1504242095443390464,2022-03-24 21:15:50+00:00,"b'@T_BALLER6 We are organizing private #donations for #Ukraine, driving there from southern Germany 2-3 times a week by our transporter. We kindly ask for your help, quick &amp; easy by #Bitcoin. Address bc1qnyfmwraa8y08760vg4mrj2phpz29kzn5wc90p8 . Thank you!! \xf0\x9f\x99\x8f\xf0\x9f\x92\x99\xf0\x9f\x92\x9b'",0,0,0,0
75,1504242095443390464,2022-03-24 21:15:10+00:00,"b'@rinanpakkala @jillian_swaine We are organizing private #donations for #Ukraine, driving there from southern Germany 2-3 times a week by our transporter. We kindly ask for your help, quick &amp; easy by #Bitcoin. Address bc1qnyfmwraa8y08760vg4mrj2phpz29kzn5wc90p8 . Thank you!! \xf0\x9f\x99\x8f\xf0\x9f\x92\x99\xf0\x9f\x92\x9b'",0,0,0,0
76,1504242095443390464,2022-03-24 21:14:36+00:00,"b'@jmvasquez1974 We are organizing private #donations for #Ukraine, driving there from southern Germany 2-3 times a week by our transporter. We kindly ask for your help, quick &amp; easy by #Bitcoin. Address bc1qnyfmwraa8y08760vg4mrj2phpz29kzn5wc90p8 . Thank you!! \xf0\x9f\x99\x8f\xf0\x9f\x92\x99\xf0\x9f\x92\x9b'",0,0,0,0
77,1504242095443390464,2022-03-24 21:14:22+00:00,"b'@jf_nft We are organizing private #donations for #Ukraine, driving there from southern Germany 2-3 times a week by our transporter. We kindly ask for your help, quick &amp; easy by #Bitcoin. Address bc1qnyfmwraa8y08760vg4mrj2phpz29kzn5wc90p8 . Thank you!! \xf0\x9f\x99\x8f\xf0\x9f\x92\x99\xf0\x9f\x92\x9b'",0,0,0,0
78,1400378624998445057,2022-03-24 21:14:21+00:00,"b""#BREAKINGNEWS #BTC #CASINO #1 RATED FOR PAYOUTS, CUSTOMER SERVICE AND #JACKPOT 'S PAID @_BITSTARZ \n\nJOIN NOW=&gt; https://t.co/mum0dq6V2H\n\n#ukraine #nfts #trending #breakingnews #cryptocurrency https://t.co/iDEpYvxpl6""",0,0,0,0
79,1255125301329362945,2022-03-24 21:14:15+00:00,b'@WatcherGuru \xf0\x9f\x98\x82Who gives a flying fuck a nation that war Mongers and kills for fun is adapting it #Russia #Bitcoin',0,0,2,0
80,1410260848292081670,2022-03-24 21:13:20+00:00,"b""Russia is the #1 natural gas exporter in the world, and they're open to accepting #bitcoin\xc2\xa0 for it. \xf0\x9f\x87\xb7\xf0\x9f\x87\xba #russia #russiagas #cryptocurrecy #kingdavidcoins""",0,0,1,0
81,930561332134449152,2022-03-24 21:12:15+00:00,b'HUGE #CRYPTO BUYING PRESSURE COMING! #Russia Accepting #Bitcoin As Payment!     #Cryptocurrency #CryptoMarket #CryptoNews #Cardano #CoinBase #DeFi #ElSalvador #RussianUkrainianWar https://t.co/XG0bcGJIWF',0,1,1,0
82,1497212590497439744,2022-03-24 21:02:34+00:00,"b'#putin #Ukraine @rianru #Russia #RussiaUkraineWar #Russian #UkraineUnderAttack #Bitcoin #Kharkiv #Kyiv #China \nRussian TV!  The cowardice of these criminals reaches the point of blaming the ""nationalists"" for having wiped Mariupol off the map!  Bunch of bastards! https://t.co/n7Z25zjoog'",0,0,0,0
83,90272103,2022-03-24 21:01:23+00:00,"b""China's Bitcoin Crackdown Shifts the Mining Landscape\n\n#China #Mining #Bitcoin #statista #Kazakhstan #Russia #US https://t.co/4XIuGBmSs2""",0,1,0,0
84,1400378624998445057,2022-03-24 20:59:08+00:00,b'#FREESPINS #BTC BONUS \nCLICK =&gt; https://t.co/mum0dq6V2H\n\n -1 Minute Registration\n- No Verifications\n- Immediate BTC Freespins NO Deposit\n- Withdrawals take less than 10 Minutes\n\n#ukraine #nfts #trending #breakingnews #cryptocurrency https://t.co/BVeZn0KK9u',0,0,1,0
85,1484291756267311104,2022-03-24 20:53:42+00:00,"b'#Bitcoin (BTC) could be one alternative #Russia might accept as payment for oil and other resources, a Duma committee chairman said during a news conference. #UkraineRussiaWar #cryptocurrency #oil #BTC'",0,0,0,0
86,248077698,2022-03-24 20:53:37+00:00,b'@masonversluis \xf0\x9f\xa4\x94 interesting. #russia #BTC #Crypto #nfts #Ethereum https://t.co/qpJfifF891',0,0,0,0
87,1441485212743962624,2022-03-24 20:51:15+00:00,"b'#BTC #Russia is willing to accept bitcoin for the export of its natural resources, Pavel Zavalny, chairman of the Russian parliament\xe2\x80\x99s energy committee, said at a news conference on Thursday.Russia can trade with ""friendly"" countries in its own currency or in Bitcoin.'",0,0,1,0
88,918075342463688704,2022-03-24 20:50:01+00:00,b'Derivatives data shows pro traders turning bullish on EOS price\n#ukraine #news #btc #cryptocurrency\nhttps://t.co/W2OjZHdMU8',0,0,0,0
89,1496093029777686529,2022-03-24 20:49:46+00:00,"b""\xf0\x9f\x87\xb7\xf0\x9f\x87\xba #Russia could \xe2\x80\x98potentially' accept #Bitcoin for natural resource exports, according to the country's Congressional energy committee head.""",0,0,0,0
