,created_at,author_id,text,retweet_count,reply_count,like_count,quote_count
28,2022-03-21 21:43:10+00:00,1287083791,b'Kentucky Fried Chicken Style Chicken Recipe https://t.co/lOOy461gfr \n#AdanaEmniyeti #AVAX #ETH #YouMakeStrayKidsStay #Ukraine #UkraineWar #COVID19 #BTC #nsfwtwt #NewrozPirozBe #Twitter #GenshinImpact #recipes #recipe #chickens #chickenrecipe #recettes #food #Foodie  #repas https://t.co/2KgPLH7FIC',2,0,4,0
29,2022-03-21 21:40:02+00:00,918075342463688704,"b'Price analysis 7/7: BTC, ETH, BNB, ADA, DOGE, XRP, DOT, UNI, BCH, SOL\n#btc #ukraine #trading #bitcoin\nhttps://t.co/tTPUZFNAxi'",0,1,1,0
30,2022-03-21 21:31:27+00:00,1469577636426833930,b'@joncoopertweets @CalltoActivism Liberal extremists that are probably children and have no clue about anything about war thier the Nazi army of rerards Stockholm #Iran #chronic #JeffBezos  #paranormal #bank #weed  #loan #BTC #hiphop #india #Ukraine  #poverty  #NickiMinaj #Raw #Czech #nft #gold \n#civilbenefits https://t.co/nyP0Ocglfb',0,1,0,0
31,2022-03-21 21:30:36+00:00,1482925094657617921,b'Please help Ukrainian kids\n#Ukraine #Donation  #war \n\n#Bitcoin:\n1BfYLQNwwWfAcfLTS79FVW1uv7G3KsG1hT\n#Eth :\n0x1cf07c9a06c5ba513a9c9a6aacc05e480b58f0ed\n#Tron:\nTWx9Y7dfZM8jBvn4xG2Wh9GrSEjfXcNP2u\n#USDT :\n3Pp4zH4K2h4Sm3mh2v9b7Y9o8vmdhXvYpS\n#DOGE :\nDBcFZxxGhEqeUW3vmVRuQ7tAtSoVQgjQgW https://t.co/ka6dOV6O15 https://t.co/VOIr0kKBLp',3,0,2,0
32,2022-03-21 21:30:18+00:00,1482925094657617921,b'Please help Ukrainian kids\n#Ukraine #Donation  #war \n\n#Bitcoin:\n1BfYLQNwwWfAcfLTS79FVW1uv7G3KsG1hT\n#Eth :\n0x1cf07c9a06c5ba513a9c9a6aacc05e480b58f0ed\n#Tron:\nTWx9Y7dfZM8jBvn4xG2Wh9GrSEjfXcNP2u\n#USDT :\n3Pp4zH4K2h4Sm3mh2v9b7Y9o8vmdhXvYpS\n#DOGE :\nDBcFZxxGhEqeUW3vmVRuQ7tAtSoVQgjQgW https://t.co/iRkQkEmtyM',3,0,3,0
33,2022-03-21 21:29:26+00:00,1482925094657617921,b'Please help Ukrainian kids\n#Ukraine #Donation  #war \n\n#Bitcoin:\n1BfYLQNwwWfAcfLTS79FVW1uv7G3KsG1hT\n#Eth :\n0x1cf07c9a06c5ba513a9c9a6aacc05e480b58f0ed\n#Tron:\nTWx9Y7dfZM8jBvn4xG2Wh9GrSEjfXcNP2u\n#USDT :\n3Pp4zH4K2h4Sm3mh2v9b7Y9o8vmdhXvYpS\n#DOGE :\nDBcFZxxGhEqeUW3vmVRuQ7tAtSoVQgjQgW https://t.co/K4R06bnyDy https://t.co/lW2jwhk3zG',3,0,2,0
34,2022-03-21 21:28:35+00:00,1482925094657617921,b'Please help Ukrainian kids\n#Ukraine #Donation  #war \n\n#Bitcoin:\n1BfYLQNwwWfAcfLTS79FVW1uv7G3KsG1hT\n#Eth :\n0x1cf07c9a06c5ba513a9c9a6aacc05e480b58f0ed\n#Tron:\nTWx9Y7dfZM8jBvn4xG2Wh9GrSEjfXcNP2u\n#USDT :\n3Pp4zH4K2h4Sm3mh2v9b7Y9o8vmdhXvYpS\n#DOGE :\nDBcFZxxGhEqeUW3vmVRuQ7tAtSoVQgjQgW https://t.co/1hnsBpCSh7 https://t.co/LuVfP1WPNB',3,0,2,0
35,2022-03-21 21:28:05+00:00,1482925094657617921,b'Please help Ukrainian kids\n#Ukraine #Donation  #war \n\n#Bitcoin:\n1BfYLQNwwWfAcfLTS79FVW1uv7G3KsG1hT\n#Eth :\n0x1cf07c9a06c5ba513a9c9a6aacc05e480b58f0ed\n#Tron:\nTWx9Y7dfZM8jBvn4xG2Wh9GrSEjfXcNP2u\n#USDT :\n3Pp4zH4K2h4Sm3mh2v9b7Y9o8vmdhXvYpS\n#DOGE :\nDBcFZxxGhEqeUW3vmVRuQ7tAtSoVQgjQgW https://t.co/KjBNFpi3yh https://t.co/5BJna7hlFC',3,0,2,0
36,2022-03-21 21:27:28+00:00,1482925094657617921,b'Please help Ukrainian kids\n#Ukraine #Donation  #war \n\n#Bitcoin:\n1BfYLQNwwWfAcfLTS79FVW1uv7G3KsG1hT\n#Eth :\n0x1cf07c9a06c5ba513a9c9a6aacc05e480b58f0ed\n#Tron:\nTWx9Y7dfZM8jBvn4xG2Wh9GrSEjfXcNP2u\n#USDT :\n3Pp4zH4K2h4Sm3mh2v9b7Y9o8vmdhXvYpS\n#DOGE :\nDBcFZxxGhEqeUW3vmVRuQ7tAtSoVQgjQgW https://t.co/GWpwbSfhXK https://t.co/5RpMMrO9G3',3,0,2,0
37,2022-03-21 21:27:04+00:00,1482925094657617921,b'Please help Ukrainian kids\n#Ukraine #Donation  #war \n\n#Bitcoin:\n1BfYLQNwwWfAcfLTS79FVW1uv7G3KsG1hT\n#Eth :\n0x1cf07c9a06c5ba513a9c9a6aacc05e480b58f0ed\n#Tron:\nTWx9Y7dfZM8jBvn4xG2Wh9GrSEjfXcNP2u\n#USDT :\n3Pp4zH4K2h4Sm3mh2v9b7Y9o8vmdhXvYpS\n#DOGE :\nDBcFZxxGhEqeUW3vmVRuQ7tAtSoVQgjQgW https://t.co/TK9XxIDXMi https://t.co/Jsd8ibt8t6',2,0,1,0
