time,open,high,low,close,Volume,Volume MA
2022-03-24T10:00:00Z,43053,43065,42942,43016,4471781.4485,7884240.5306549715
2022-03-24T10:30:00Z,43016,43123,42980,43030,4638416.0375,7463524.060984971
2022-03-24T11:00:00Z,43030,43105,42964,43052,4455871.5608,7305547.83838997
2022-03-24T11:30:00Z,43052,43092,42886,42985,7087975.9634,7352740.718674971
2022-03-24T12:00:00Z,42985,43097,42911,42968,11917945.9671,7721542.774554971
2022-03-24T12:30:00Z,42968,42995,42762,42833,7078373.6965,7837480.160489971
2022-03-24T13:00:00Z,42833,42950,42785,42787,10446954.743,8163911.52743997
2022-03-24T13:30:00Z,42787,43084,42618,43013,14044875.4856,8635557.85752497
2022-03-24T14:00:00Z,43013,43166,42948,42979,6483588.7692,8671482.47656997
2022-03-24T14:30:00Z,42979,43628,42918,43620,36628154.0984,10208295.69647497
2022-03-24T15:00:00Z,43621,43860,43512,43822,32903942.5737,11700361.22674497
2022-03-24T15:30:00Z,43822,44059,43704,44026,42468463.287,13476932.423284972
2022-03-24T16:00:00Z,44026,44231,43885,43979,26647529.1561,13921844.497444972
2022-03-24T16:30:00Z,43979,44088,43876,44039,10404351.3129,13626842.267799973
2022-03-24T17:00:00Z,44039,44251,43996,44115,11735245.7163,13576373.741524974
2022-03-24T17:30:00Z,44115,44137,43814,43831,14595036.555,13993311.606459972
2022-03-24T18:00:00Z,43831,43944,43787,43907,10343998.4058,14083557.081939971
2022-03-24T18:30:00Z,43907,44018,43888,44010,6080671.6313,14209793.314139972
2022-03-24T19:00:00Z,44010,44100,43909,44083,8003936.3347,14284265.69973497
2022-03-24T19:30:00Z,44083,44105,43919,43935,5544388.1946,13799075.046869969
2022-03-24T20:00:00Z,43935,43956,43851,43921,6236559.7388,13887313.96138497
2022-03-24T20:30:00Z,43921,43964,43843,43893,3947661.3799,13852776.228504967
2022-03-24T21:00:00Z,43893,43959,43831,43955,1984999.1579,13729232.608359966
2022-03-24T21:30:00Z,43955,44100,43909,44057,3977458.4164,13573706.731009966
2022-03-24T22:00:00Z,44057,44120,43922,44076,4273558.0651,13191487.335909966
2022-03-24T22:30:00Z,44076,44098,43965,43978,3140695.6529,12994603.433729967
2022-03-24T23:00:00Z,43977,44027,43911,43958,14768849.7209,13210698.182624968
2022-03-24T23:30:00Z,43958,44037,43897,44014,3031740.0717,12660041.411929969
2022-03-25T00:00:00Z,44014,44020,43880,43916,3854294.134,12528576.680169968
2022-03-25T00:30:00Z,43916,44037,43906,43990,1997110.6337,10797024.506934969
2022-03-25T01:00:00Z,43990,44120,43960,44112,4697303.1651,9386692.536504969
2022-03-25T01:30:00Z,44112,44413,44034,44147,20825890.1195,8304563.878129969
2022-03-25T02:00:00Z,44147,44181,43971,44052,8511728.9838,7397773.869514969
2022-03-25T02:30:00Z,44052,44060,43905,43971,8795090.7699,7317310.842364969
2022-03-25T03:00:00Z,43971,43984,43888,43969,11134613.9162,7287279.252359969
2022-03-25T03:30:00Z,43969,44029,43940,43999,4142109.5269,6764632.900954967
2022-03-25T04:00:00Z,43999,44072,43926,44056,5074088.2273,6501137.392029968
2022-03-25T04:30:00Z,44056,44127,43972,44122,4182052.2308,6406206.422004968
2022-03-25T05:00:00Z,44122,44132,44038,44061,3847889.4867,6198404.0796049675
2022-03-25T05:30:00Z,44061,44135,44017,44101,4591562.763,6150762.808024967
2022-03-25T06:00:00Z,44101,44241,44101,44198,6448598.6499,6161364.753579968
2022-03-25T06:30:00Z,44198,44238,44001,44139,7168689.2732,6322416.148244968
2022-03-25T07:00:00Z,44139,44222,44113,44180,9855721.0121,6715952.240954968
2022-03-25T07:30:00Z,44180,44180,43929,43941,16264195.5152,7330289.095894968
2022-03-25T08:00:00Z,43941,43979,43608,43935,17529847.3335,7993103.559314968
2022-03-25T08:30:00Z,43935,44104,43859,44032,8448072.1647,8258472.384904968
2022-03-25T09:00:00Z,44032,44096,43930,44048,3337102.4066,7686885.019189967
2022-03-25T09:30:00Z,44048,44198,44036,44149,6334476.9058,7852021.860894966
2022-03-25T10:00:00Z,44149,44205,44091,44157,6083529.172,7963483.6127949655
2022-03-25T10:30:00Z,44157,44355,44149,44263,8067221.6402,8266989.163119964
2022-03-25T11:00:00Z,44263,44475,44236,44455,16787976.3044,8871522.820084963
2022-03-25T11:30:00Z,44455,44691,44360,44617,15911395.989,8625798.113559963
2022-03-25T12:00:00Z,44617,44753,44472,44711,11866849.7297,8793554.150854964
2022-03-25T12:30:00Z,44711,44938,44652,44865,19318625.1633,9319730.870524963
2022-03-25T13:00:00Z,44865,44901,44772,44859,8054560.3615,9165728.192789963
2022-03-25T13:30:00Z,44859,45133,44814,45017,26583635.7535,10287804.504119962
2022-03-25T14:00:00Z,45017,45129,44712,44902,24684990.4899,11268349.617249962
2022-03-25T14:30:00Z,44902,45024,44837,44900,8111215.335,11464807.772459963
2022-03-25T15:00:00Z,44900,44909,44400,44422,27434480.4385,12644137.320049962
2022-03-25T15:30:00Z,44421,44505,44200,44333,43283796.19,14578748.991399962
2022-03-25T16:00:00Z,44331,44602,44206,44469,34808221.8545,15996730.15162996
2022-03-25T16:30:00Z,44469,44481,44149,44167,13540811.9769,16315336.286814962
2022-03-25T17:00:00Z,44167,44314,44035,44276,15599350.3461,16602517.75351496
2022-03-25T17:30:00Z,44276,44354,44177,44350,6082559.2278,16093435.93914496
2022-03-25T18:00:00Z,44350,44482,44311,44408,8110706.7169,15622478.908314958
2022-03-25T18:30:00Z,44408,44530,44355,44467,6131710.702,15506660.83517996
2022-03-25T19:00:00Z,44467,44488,44219,44230,5507804.987,15615195.96419996
2022-03-25T19:30:00Z,44230,44468,44183,44467,4377746.5946,15517359.448639963
2022-03-25T20:00:00Z,44468,44549,44399,44477,5645847.5292,15495475.366499964
2022-03-25T20:30:00Z,44477,44628,44379,44567,2629295.2777,15223579.048374962
2022-03-25T21:00:00Z,44567,44570,44447,44451,2598580.3311,14514109.24970996
2022-03-25T21:30:00Z,44451,44565,44426,44550,1523453.4728,13794712.12389996
2022-03-25T22:00:00Z,44550,44551,44331,44379,4908013.9556,13446770.33519496
2022-03-25T22:30:00Z,44379,44443,44277,44313,3154181.871,12638548.170579959
2022-03-25T23:00:00Z,44313,44386,44256,44298,2347086.9446,12353174.499734959
2022-03-25T23:30:00Z,44298,44399,44288,44331,3731101.6765,11210547.79588496
2022-03-26T00:00:00Z,44331,44473,44320,44452,6509847.2591,10301790.63434496
2022-03-26T00:30:00Z,44452,44456,44149,44175,5132407.2916,10152850.232174959
2022-03-26T01:00:00Z,44175,44264,44086,44194,4061626.8915,8984207.55482496
2022-03-26T01:30:00Z,44194,44374,44173,44309,5147715.4496,7077403.51780496
2022-03-26T02:00:00Z,44313,44397,44257,44380,2839340.2433,5478959.43724496
2022-03-26T02:30:00Z,44380,44397,44199,44308,1800905.2952,4891964.10315996
2022-03-26T03:00:00Z,44308,44456,44270,44396,3691108.9183,4296552.03176996
2022-03-26T03:30:00Z,44396,44441,44337,44414,1198733.5948,4052360.7501199604
2022-03-26T04:00:00Z,44414,44479,44394,44471,2970885.2487,3795369.6767099597
2022-03-26T04:30:00Z,44470,44472,44399,44431,2106734.2884,3594120.856029959
2022-03-26T05:00:00Z,44431,44458,44376,44440,2082638.2299,3422862.518174959
2022-03-26T05:30:00Z,44440,44542,44425,44527,2686350.4797,3338292.712429959
2022-03-26T06:00:00Z,44527,44577,44461,44488,1929513.5041,3152476.011174959
2022-03-26T06:30:00Z,44488,44510,44400,44471,2148734.8201,3128447.988294959
2022-03-26T07:00:00Z,44471,44487,44383,44418,3430705.418,3170054.242639959
2022-03-26T07:30:00Z,44418,44566,44404,44524,6464569.1536,3417110.026679958
2022-03-26T08:00:00Z,44524,44591,44468,44478,3746634.3236,3359041.0450799586
2022-03-26T08:30:00Z,44478,44530,44461,44519,1078648.009,3255264.351979959
2022-03-26T09:00:00Z,44519,44519,44440,44493,2382426.6892,3257031.3392099584
2022-03-26T09:30:00Z,44493,44538,44450,44494,1969080.2184,3168930.2663049586
2022-03-26T10:00:00Z,44494,44508,44403,44429,1733247.7383,2930100.290264959
2022-03-26T10:30:00Z,44429,44481,44390,44443,1117185.8003,2729339.2156999586
2022-03-26T11:00:00Z,44443,44498,44391,44498,1599327.9776,2606224.270004959
2022-03-26T11:30:00Z,44498,44512,44332,44354,3053266.407,2501501.8178749587
2022-03-26T12:00:00Z,44354,44408,44283,44316,3163087.4415,2517689.177784959
2022-03-26T12:30:00Z,44316,44427,44241,44365,4352121.1327,2645249.969659959
2022-03-26T13:00:00Z,44365,44424,44188,44246,3769662.6299,2649177.655239959
2022-03-26T13:30:00Z,44246,44328,44202,44276,4763116.4335,2827396.7971749585
2022-03-26T14:00:00Z,44276,44299,44192,44249,2713629.6018,2814534.014829959
2022-03-26T14:30:00Z,44249,44273,44167,44272,2674431.1738,2842918.8590999586
2022-03-26T15:00:00Z,44272,44301,44227,44239,3524631.4671,2915018.5209599584
2022-03-26T15:30:00Z,44239,44351,44202,44219,5021012.1505,3031751.6044999585
2022-03-26T16:00:00Z,44219,44276,44153,44265,6395840.6611,3255067.9623499583
2022-03-26T16:30:00Z,44265,44329,44235,44317,4771880.9325,3386225.2679699585
2022-03-26T17:00:00Z,44317,44463,44301,44445,11839908.7598,3806685.4350599586
2022-03-26T17:30:00Z,44445,44445,44390,44401,5637818.7949,3765347.9171249582
2022-03-26T18:00:00Z,44401,44448,44400,44405,5189373.015,3837484.8516949588
2022-03-26T18:30:00Z,44405,44500,44400,44457,5877466.3818,4077425.770334958
2022-03-26T19:00:00Z,44457,44482,44338,44338,6515590.3488,4284083.953314958
2022-03-26T19:30:00Z,44338,44391,44322,44386,4007410.0368,4386000.444234958
2022-03-26T20:00:00Z,44386,44786,44381,44729,12852723.2858,4941974.221609958
2022-03-26T20:30:00Z,44729,44818,44487,44583,6842685.5745,5228249.210319958
2022-03-26T21:00:00Z,44583,44599,44300,44308,8300804.4923,5563323.036054959
2022-03-26T21:30:00Z,44308,44467,44273,44462,1988254.9852,5510072.464964958
2022-03-26T22:00:00Z,44462,44540,44411,44484,3513784.2941,5527607.307594959
2022-03-26T22:30:00Z,44484,44484,44390,44390,3810873.4664,5500544.924279959
2022-03-26T23:00:00Z,44390,44513,44390,44489,3217067.2699,5472915.156279959
2022-03-26T23:30:00Z,44489,44595,44481,44538,4658394.1108,5467679.0401449585
2022-03-27T00:00:00Z,44538,44614,44511,44561,2919492.4143,5477972.1807699585
2022-03-27T00:30:00Z,44561,44765,44534,44732,4118048.2168,5550153.032919958
2022-03-27T01:00:00Z,44732,44788,44652,44652,2905827.3988,5519212.829504958
2022-03-27T01:30:00Z,44652,44758,44614,44753,4877993.3471,5512061.889334959
2022-03-27T02:00:00Z,44753,44975,44701,44806,10368115.7047,5710675.641514959
2022-03-27T02:30:00Z,44806,44842,44682,44721,5650461.0402,5754604.646899958
2022-03-27T03:00:00Z,44721,44739,44660,44717,1862669.889,5255742.703359958
2022-03-27T03:30:00Z,44717,44749,44645,44740,2272018.4251,5087452.684869958
2022-03-27T04:00:00Z,44740,44789,44611,44612,3753842.3726,5015676.1527499575
2022-03-27T04:30:00Z,44612,44680,44557,44593,14699017.2487,5456753.696094958
2022-03-27T05:00:00Z,44593,44714,44579,44714,6165272.8604,5439237.821674959
